"utt_id","yt_id","chunk_id","audio_path","video_normal_path","video_bbox_path","video_cropped_path","google_txt","whisper_txt","split","poi"
"h9OrOkhODmY_chunk_031","h9OrOkhODmY","chunk_031","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_031.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_031.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_031_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_031.mp4","মেটেরিয়াল আছে এবং কখনো যদি আপনি বড় কথা না বলেন ম্যাক্রো ভিজে এটা আমার শাড়ির কোম্পানি তাহলে কিন্তু ওই 35","এবং কখনো যদি আপনি বড়ো কথা না বলেন ম্যাক্রো বিবেচে, এটা আমার সারির কোম্পানি, তাইলে কিন্তু ঐ পয়ে তিরেজন বহেন।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_025","h9OrOkhODmY","chunk_025","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_025.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_025.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_025_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_025.mp4","জায়গা থেকে যেসব জায়গার কথা আপনি একচুয়ালি জানতেনই না এসব ব্র্যান্ড অথবা এজার","যেসব জায়গার কথা আপনি অ্যাংচলি জানতেনি না, এস আ ব্র্যান্ড অথবা এস আ ডিজিটাল মেন।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_043","h9OrOkhODmY","chunk_043","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_043.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_043.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_043_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_043.mp4","মানুষ সফল হয় জিনিস করতে যেয়ে সো যে জিনিসের সফল হওয়ার চান্স","মানুষ সফল হওয়া এই জিনিস করতে যে, তো যে জিনিসের সফল হওয়ার চানসিয়া তথে।","val","Khalid Farhan"
"h9OrOkhODmY_chunk_055","h9OrOkhODmY","chunk_055","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_055.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_055.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_055_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_055.mp4","ব্র্যান্ড আপনি যখন কনটেন্ট স্ট্রাটেজি ভাবতেছেন সব সময় মাথায় রাখবেন যে সোশ্যাল মিডিয়া মানুষ প্রাইমারি যায় এন্টারটেইনমেন্টের জন্য সোশ্যাল মিডিয়া","এসা ব্র্যান্ড আপনি যখন কন্টেন্ট স্ট্রেটেজি ভাবতেছেন সবসাবে মাথায় রাখবেন যে সোশাল মিডিয়া মানুষ প্রাইমারিলি যা�","test","Khalid Farhan"
"h9OrOkhODmY_chunk_041","h9OrOkhODmY","chunk_041","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_041.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_041.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_041_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_041.mp4","আমি ইঞ্জিনিয়ার করার চেষ্টা করব না যেন আমার পোস্ট বা আমার ভিডিও ভাইরাল হয়","আমি ইঞ্জিনিয়ার করার চেষ্টা করব না যান্য আমার পোস্ট বা আমার ভিডিও ভাইরাল হয়।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_040","h9OrOkhODmY","chunk_040","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_040.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_040.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_040_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_040.mp4","খুব ভালো জিনিস আমি যদি আমার কোন পোস্ট বা আমার কোন রিয়েল সঠিকভাবে ভাইরাল করতে পারি খুবই ভালো","আমি যদি আমার কোনো পোস্ট বা আমার কোনো রিল সঠিকভাবে ভাইরাল করতে পারি খুবই ভালো, বাট ভালোয়ে প্রয়োজ্য করতে পারে করে�","test","Khalid Farhan"
"h9OrOkhODmY_chunk_068","h9OrOkhODmY","chunk_068","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_068.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_068.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_068_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_068.mp4","কারণে বিল্ডিং টুল হিসেবে আপনি যেন এই আইডিটা কে ইউজ করতে পারেন যাতে করে আপনার কনটেন্টের স্ট্রাকচার আরো ইন্টারেস্টিং হয় যদি","এই অ্যানাবলিং টুল হিসেবে আপনি যানো এআইটাকে ইউজ করতে পারেন, যাতে করে আপনার কন্টেন্টের স্ট্রাক্চার আরও ইন্টারিস্ট","train","Khalid Farhan"
"h9OrOkhODmY_chunk_045","h9OrOkhODmY","chunk_045","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_045.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_045.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_045_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_045.mp4","তারপরে পুরা লিস্টে যা যা আছে অলমোস্ট সবই নিউজ এবং","তারপরে পুরা লিস্টে যাজা আছে অল্মস্ট সবই নিউজ এবং গসিল।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_051","h9OrOkhODmY","chunk_051","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_051.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_051.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_051_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_051.mp4","অনেক বেশি টাকা আছে এবং যারা কোটি কোটি টাকা","এবং যারা কুটি কুটি টাকা খরতে নিয়ে করে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_047","h9OrOkhODmY","chunk_047","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_047.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_047.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_047_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_047.mp4","আপনি ফেসবুক এর কোয়া","আপনি ফেসবুকের কোয়ার্টার লিডি।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_053","h9OrOkhODmY","chunk_053","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_053.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_053.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_053_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_053.mp4","ইন্টেলিজেন্ট পেজ সো এর থেকে","এর থেকে আরেছে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_052","h9OrOkhODmY","chunk_052","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_052.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_052.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_052_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_052.mp4","তারপরে ইউনিলিভার ইত্যাদি ইত্যাদি কোটি কোটি ব্র্যান্ড","প্রাস্ত ওকা খোলা, তারপরে ইউনিলি বারিত্যাদি তাদি কোটি কোটি ব্র্যান্ড অ্যাপেল।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_046","h9OrOkhODmY","chunk_046","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_046.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_046.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_046_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_046.mp4","টাইপ নিউজ হেড সোর্স একটা স্ট্যাট যেটা","একটা স্ট্যাট যিটা আপনারে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_062","h9OrOkhODmY","chunk_062","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_062.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_062.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_062_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_062.mp4","যেমন ধরেন আপনি বেচেন","নিয়মন ধরন আপনি ব্যাচেন মগ।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_048","h9OrOkhODmY","chunk_048","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_048.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_048.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_048_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_048.mp4","এস্টাবলিশ","ইস্টাবলিশ্ট ব্র্যান্ড।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_074","h9OrOkhODmY","chunk_074","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_074.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_074.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_074_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_074.mp4","মানুষ পটেনশিয়াল কনভার্ট","স্টিং মানুষ বা প্রটেন্সিয়ালি কনভর্ট হবেও এরো কনভর্ট।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_061","h9OrOkhODmY","chunk_061","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_061.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_061.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_061_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_061.mp4","তার মধ্যে সাতটা এ আই","এই কিউ আনে তার মধ্যে সাতটা এআই দিয়ে বান।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_075","h9OrOkhODmY","chunk_075","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_075.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_075.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_075_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_075.mp4","মানুষের জন্যই যেন আমি না বানাই আমি","মানুষের জন্যই যা আমি না বা নেই, আমি যা নোকো।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_049","h9OrOkhODmY","chunk_049","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_049.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_049.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_049_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_049.mp4","ওই বেটার পারফর্মেন্স বা ইন্টারন্যাশনাল রিচ এবং শেয়ার দেন এস্টাবলিশ","ময়ে ব্যাটার পারফোরম্যান্স পায় ইন তারমস অফ রিচ এবং শেয়ার। তাঁর এস্টাবলিশ্ট বিগি।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_059","h9OrOkhODmY","chunk_059","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_059.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_059.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_059_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_059.mp4","এআই পোস্ট ডমিনেট করছে কিউআর","এআই পোস্ট ডমিনেট করছে কিউয়া নেম এর প্রয়োজ্য।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_058","h9OrOkhODmY","chunk_058","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_058.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_058.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_058_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_058.mp4","পায় এবং ওগুলোর মধ্যে এন্টারটেইনমেন্ট পোর্ট","এবং উগুলার মধ্যে এন্টারটেইনমেন্ট পোর্শন কত।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_064","h9OrOkhODmY","chunk_064","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_064.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_064.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_064_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_064.mp4","সো","ব্যাট এআইয়ে এই জিনি সম্ভব করে ফেলছে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_070","h9OrOkhODmY","chunk_070","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_070.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_070.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_070_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_070.mp4","যদি রিচ বেশি হয় তাহলে যেটা হবে সেটাও আপনার আই বস","এই যদি রিচ বেশি হয়ে তালে যেটা হবে সেতল আপনার আইবোলস ইভেঞ্চয়ালি কালে।","val","Khalid Farhan"
"h9OrOkhODmY_chunk_072","h9OrOkhODmY","chunk_072","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_072.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_072.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_072_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_072.mp4","দুই নাম্বারটা কিভাবে 50% এর মত ভিউ আসতেছে আমার এক্সিস্ট","দুই নম্বার টেক ওয়ে পঞ্চাশ পারসেন্টার মতো ভিউ আসতে সে আমার একজিস্টিং সোর্স।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_073","h9OrOkhODmY","chunk_073","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_073.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_073.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_073_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_073.mp4","আর আমার ফ্রেন্ড আমার ফেসবুক গ্রুপটা দি","আমার ফ্রেন্ড, আমার ফেসবুক গ্রুপ ইত্যাদি ইত্যাদি।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_028","h9OrOkhODmY","chunk_028","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_028.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_028.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_028_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_028.mp4","কাছে যাবে 100 জনের মধ্যে 35 জন এমন হলে যারা একচুয়ালি আপনাকে চিনে না সো","একশো জনের মতো পয় তিরিজন এমন হবে যারা একচিল আপনাকে চিনে না।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_000","h9OrOkhODmY","chunk_000","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_000.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_000.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_000_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_000.mp4","হলো গিয়ে যদি 100 জন তাদের নিউজফিড ওপেন করে এবং আপনার পোস্টের ভিতরে","যদি একশো জন তাদের নিউজ ফিড ওপেন করে এবং আপনার পোস্টের ভিত্রে যদি করে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_015","h9OrOkhODmY","chunk_015","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_015.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_015.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_015_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_015.mp4","মধ্যে শাড়ি 99 জন আপনার উপস্থাপনা দেখবে না অর্গানিক্যালি বাট","মধ্যে সারি নিরা নব্য জন আপনার বিপোস্টা গ্রহণে দেখবেন না অর্গ্যানিকালি, বাট আপনির জ্যোগেছে।","train","Khalid Farhan"
"h9OrOkhODmY_chunk_001","h9OrOkhODmY","chunk_001","experiments/experiment_data/h9OrOkhODmY/audio/h9OrOkhODmY_chunk_001.wav","experiments/experiment_data/h9OrOkhODmY/video_normal/h9OrOkhODmY_chunk_001.mp4","experiments/experiment_data/h9OrOkhODmY/video_bbox/h9OrOkhODmY_chunk_001_with_bboxes.mp4","experiments/experiment_data/h9OrOkhODmY/video_cropped/h9OrOkhODmY_chunk_001.mp4","তাহলে তার মধ্যে 97 জন কোনদিন","তেলে তার মধ্যে সাতা নব্যজন কোন দিনা প্রয়োজন।","test","Khalid Farhan"
